state,crop,average_area,total_production,season,area_units,production_units,yield_value,annual_rainfall,min_price,max_price,modal_price,soil_index,production_per_hectare,loan_eligibility
andaman and nicobar,arhar/tur,72.57333333333332,585.7,rabi,hectare,tonnes,0.9620483529467037,2500.0,5700.0,5850.0,5850.0,80.0,8.07045746830792,0
andaman and nicobar,banana,689.2487346938776,285563.18,whole year,hectare,tonnes,9.433949615774868,2500.0,4500.0,5500.0,5000.0,80.0,414.31077871594465,1
andaman and nicobar,black pepper,212.1031914893617,1663.98,whole year,hectare,tonnes,0.2587164275361867,2500.0,110000.0,130000.0,120000.0,80.0,7.845143622383725,0
andaman and nicobar,cowpea(lobia),167.46,12963.6,rabi,hectare,tonnes,4.634417736083631,2500.0,2387.5,3765.0,3144.75,80.0,77.41311357936223,1
andaman and nicobar,dry chillies,133.09954545454545,13147.66,whole year,hectare,tonnes,3.0911854722492347,2500.0,4000.0,4410.0,4200.0,80.0,98.78065289479167,1
andaman and nicobar,ginger,98.22477272727274,26029.97,whole year,hectare,tonnes,6.208804845373184,2500.0,5725.0,6425.0,6200.0,80.0,265.0041255099042,1
andaman and nicobar,groundnut,9.35,126.17,rabi,hectare,tonnes,0.8441426900790365,2500.0,4900.0,4900.0,4900.0,80.0,13.494117647058824,1
andaman and nicobar,maize/corn,60.43535714285714,4455.94,rabi,hectare,tonnes,2.5155011557733244,2500.0,1700.0,1800.0,1800.0,80.0,73.73068036095236,1
andaman and nicobar,moong,350.49038461538464,4780.12,rabi,hectare,tonnes,0.6027026932995467,2500.0,6250.0,6720.0,6500.0,80.0,13.638376999259279,1
andaman and nicobar,mustard,8.567333333333332,51.29,rabi,hectare,tonnes,0.8746972677154513,2500.0,3150.0,3325.0,3250.0,80.0,5.986693642518093,0
andaman and nicobar,rice,3380.59,402806.128,kharif,hectare,tonnes,2.3585286237897303,2500.0,1825.0,1885.0,1855.0,80.0,119.15261182219672,1
andaman and nicobar,sweet potato,44.07857142857143,16531.58,whole year,hectare,tonnes,13.902747386941986,2500.0,1658.3333333333333,2258.333333333333,2016.6666666666667,80.0,375.0479987036137,1
andaman and nicobar,tapioca,83.2335,33175.05,whole year,hectare,tonnes,13.298186533057756,2500.0,2583.333333333333,2833.333333333333,2725.0,80.0,398.5780965596785,1
andaman and nicobar,turmeric,37.627428571428574,9028.64,whole year,hectare,tonnes,6.056033203798914,2500.0,5200.0,5200.0,5200.0,80.0,239.94836593366537,1
andaman and nicobar,urad,377.8566666666666,4652.27,rabi,hectare,tonnes,0.4628946614820666,2500.0,4300.0,4425.0,4400.0,80.0,12.31226126308918,1
andhra pradesh,arhar/tur,13280.149460708782,3781408.0,kharif,hectare,tonnes,0.4844786063354064,916.0857304643262,5700.0,5850.0,5850.0,82.07987179487179,284.74137367111985,1
andhra pradesh,bajra,2943.890287769784,1824665.0,rabi,hectare,tonnes,1.1739787617225836,916.0857304643262,1913.3333333333333,1998.3333333333333,1965.0,82.07987179487179,619.8141987765174,1
andhra pradesh,banana,3235.633116883117,40143311.0,whole year,hectare,tonnes,36.56810896381094,916.0857304643262,4500.0,5500.0,5000.0,82.07987179487179,12406.632504327321,1
andhra pradesh,black pepper,4412.25,17648.0,kharif,hectare,tonnes,0.9375,916.0857304643262,110000.0,130000.0,120000.0,82.07987179487179,3.999773358263924,0
andhra pradesh,castor seed,11392.7,1629086.0,kharif,hectare,tonnes,0.4918662832133128,916.0857304643262,4800.0,4950.0,4870.0,82.07987179487179,142.99384693707373,1
andhra pradesh,coriander,1990.7860082304528,208291.0,whole year,hectare,tonnes,0.5247537100199167,916.0857304643262,1525.0,2250.0,1912.5,82.07987179487179,104.62751854738187,1
andhra pradesh,cotton(lint),52178.87891440501,52714488.0,kharif,hectare,bales,2.0347658899703,916.0857304643262,5140.8,5334.0,5230.0,82.07987179487179,1010.2648638057865,1
andhra pradesh,cowpea(lobia),922.1012658227849,100217.0,kharif,hectare,tonnes,0.6016619829183784,916.0857304643262,2387.5,3765.0,3144.75,82.07987179487179,108.68329077780523,1
andhra pradesh,dry chillies,5586.915544675642,15223056.0,kharif,hectare,tonnes,2.950179845792278,916.0857304643262,4000.0,4410.0,4200.0,82.07987179487179,2724.7693075488937,1
andhra pradesh,garlic,109.46153846153848,3473.0,whole year,hectare,tonnes,2.168090973091462,916.0857304643262,3750.0,5500.0,4750.0,82.07987179487179,31.72803935347856,1
andhra pradesh,ginger,205.26666666666668,141047.0,whole year,hectare,tonnes,4.320330427561635,916.0857304643262,5725.0,6425.0,6200.0,82.07987179487179,687.1403052939265,1
andhra pradesh,gram,24309.794621026896,11266895.0,kharif,hectare,tonnes,1.2717064610215023,916.0857304643262,4500.0,4700.0,4600.0,82.07987179487179,463.4714186459903,1
andhra pradesh,groundnut,37403.95601851852,26480410.0,kharif,hectare,tonnes,1.5715504381737215,916.0857304643262,4900.0,4900.0,4900.0,82.07987179487179,707.9574681055041,1
andhra pradesh,guar seed,42.0,80.0,rabi,hectare,tonnes,1.9047619047619049,916.0857304643262,4000.0,4025.0,4010.0,82.07987179487179,1.9047619047619047,0
